"","ï..Country","Wave..number.","Wave..month.year.","Topic.covered.by.question","Question","Question.Row.number","Row.item.label","Answer.option.label","Base.description..Who.saw.the.question..","Base.size..How.many.saw.this.question..","Value","Data.type.represented.by..value."
"16611","AU",1,"Feb16","Most important challenge","Q5: [Most important challenge]  - What are the most important challenges your business currently faces?","Q5","Attracting customers","","Base: Total; multiple select",1597,1238,"Frequency"
"16612","AU",1,"Feb16","Most important challenge","Q5: [Most important challenge]  - What are the most important challenges your business currently faces?","Q5","Developing new products/innovation","","Base: Total; multiple select",1597,378,"Frequency"
"16613","AU",1,"Feb16","Most important challenge","Q5: [Most important challenge]  - What are the most important challenges your business currently faces?","Q5","Finding/working with suppliers","","Base: Total; multiple select",1597,249,"Frequency"
"16614","AU",1,"Feb16","Most important challenge","Q5: [Most important challenge]  - What are the most important challenges your business currently faces?","Q5","Increasing revenue","","Base: Total; multiple select",1597,901,"Frequency"
"16615","AU",1,"Feb16","Most important challenge","Q5: [Most important challenge]  - What are the most important challenges your business currently faces?","Q5","Maintaining profitability","","Base: Total; multiple select",1597,835,"Frequency"
"16616","AU",1,"Feb16","Most important challenge","Q5: [Most important challenge]  - What are the most important challenges your business currently faces?","Q5","Other","","Base: Total; multiple select",1597,102,"Frequency"
"16617","AU",1,"Feb16","Most important challenge","Q5: [Most important challenge]  - What are the most important challenges your business currently faces?","Q5","Other government regulations (e.g., compliance, technical regulation, patents, reporting)","","Base: Total; multiple select",1597,271,"Frequency"
"16618","AU",1,"Feb16","Most important challenge","Q5: [Most important challenge]  - What are the most important challenges your business currently faces?","Q5","Regulatory and other barriers to exports (deleted since October 2016)","","Base: Total; multiple select",1597,71,"Frequency"
"16619","AU",1,"Feb16","Most important challenge","Q5: [Most important challenge]  - What are the most important challenges your business currently faces?","Q5","Retaining/recruiting skilled employees","","Base: Total; multiple select",1597,303,"Frequency"
"16620","AU",1,"Feb16","Most important challenge","Q5: [Most important challenge]  - What are the most important challenges your business currently faces?","Q5","Securing financing for business as usual","","Base: Total; multiple select",1597,222,"Frequency"
"16621","AU",1,"Feb16","Most important challenge","Q5: [Most important challenge]  - What are the most important challenges your business currently faces?","Q5","Securing financing for expansion","","Base: Total; multiple select",1597,266,"Frequency"
