"","ï..Country","Wave..number.","Wave..month.year.","Topic.covered.by.question","Question","Question.Row.number","Row.item.label","Answer.option.label","Base.description..Who.saw.the.question..","Base.size..How.many.saw.this.question..","Value","Data.type.represented.by..value."
"80979","CA",1,"Feb16","Most important challenge","Q5: [Most important challenge]  - What are the most important challenges your business currently faces?","Q5","Attracting customers","","Base: Total; multiple select",1767,1361,"Frequency"
"80980","CA",1,"Feb16","Most important challenge","Q5: [Most important challenge]  - What are the most important challenges your business currently faces?","Q5","Developing new products/innovation","","Base: Total; multiple select",1767,405,"Frequency"
"80981","CA",1,"Feb16","Most important challenge","Q5: [Most important challenge]  - What are the most important challenges your business currently faces?","Q5","Finding/working with suppliers","","Base: Total; multiple select",1767,269,"Frequency"
"80982","CA",1,"Feb16","Most important challenge","Q5: [Most important challenge]  - What are the most important challenges your business currently faces?","Q5","Increasing revenue","","Base: Total; multiple select",1767,1080,"Frequency"
"80983","CA",1,"Feb16","Most important challenge","Q5: [Most important challenge]  - What are the most important challenges your business currently faces?","Q5","Maintaining profitability","","Base: Total; multiple select",1767,832,"Frequency"
"80984","CA",1,"Feb16","Most important challenge","Q5: [Most important challenge]  - What are the most important challenges your business currently faces?","Q5","Other","","Base: Total; multiple select",1767,106,"Frequency"
"80985","CA",1,"Feb16","Most important challenge","Q5: [Most important challenge]  - What are the most important challenges your business currently faces?","Q5","Other government regulations (e.g., compliance, technical regulation, patents, reporting)","","Base: Total; multiple select",1767,267,"Frequency"
"80986","CA",1,"Feb16","Most important challenge","Q5: [Most important challenge]  - What are the most important challenges your business currently faces?","Q5","Regulatory and other barriers to exports (deleted since October 2016)","","Base: Total; multiple select",1767,106,"Frequency"
"80987","CA",1,"Feb16","Most important challenge","Q5: [Most important challenge]  - What are the most important challenges your business currently faces?","Q5","Retaining/recruiting skilled employees","","Base: Total; multiple select",1767,418,"Frequency"
"80988","CA",1,"Feb16","Most important challenge","Q5: [Most important challenge]  - What are the most important challenges your business currently faces?","Q5","Securing financing for business as usual","","Base: Total; multiple select",1767,348,"Frequency"
"80989","CA",1,"Feb16","Most important challenge","Q5: [Most important challenge]  - What are the most important challenges your business currently faces?","Q5","Securing financing for expansion","","Base: Total; multiple select",1767,340,"Frequency"
"80990","CA",1,"Feb16","Most important challenge","Q5: [Most important challenge]  - What are the most important challenges your business currently faces?","Q5","Selling to foreign markets (new since October 2016)","","Base: Total; multiple select",1767,NA,"Frequency"
"80991","CA",1,"Feb16","Most important challenge","Q5: [Most important challenge]  - What are the most important challenges your business currently faces?","Q5","Tax laws and rules","","Base: Total; multiple select",1767,241,"Frequency"
"80992","CA",1,"Feb16","Most important challenge","Q5: [Most important challenge]  - What are the most important challenges your business currently faces?","Q5","Uncertainty over economic conditions","","Base: Total; multiple select",1767,635,"Frequency"
"81575","CA",2,"Mar16","Most important challenge","Q5: [Most important challenge]  - What are the most important challenges your business currently faces?","Q5","Attracting customers","","Base: Total; multiple select",1399,1097,"Frequency"
"81576","CA",2,"Mar16","Most important challenge","Q5: [Most important challenge]  - What are the most important challenges your business currently faces?","Q5","Developing new products/innovation","","Base: Total; multiple select",1399,306,"Frequency"
